;Exp. Group;Lower Bound Bias;Mean Bias;Upper Bound Bias;SD Bias;Lower Bound NO SEX;Mean NO SEX;Upper Bound NO SEX;SD NO SEX;Lower Bound NO SEX INF;Mean NO SEX INF;Upper Bound NO SEX INF;SD NO SEX INF
0;1;6.312794782292177e-05;0.0019236363636363637;0.0037841447794498056;0.0005157842816146085;0.0005745762374107127;0.0024363636363636362;0.00429815103531656;0.0005161388510399268;0.00040572855197913205;0.002265454545454545;0.004125180538929958;0.0005155673725481891
1;2;0.08824121261751228;0.09144363636363635;0.09464606010976043;0.0008878002471157835;0.0887058031140884;0.0917890909090909;0.0948723787040934;0.0008547724733946683;0.08771666693419475;0.09089090909090908;0.09406515124762341;0.0008799875327389424
2;3;0.13542736304155298;0.1384909090909091;0.14155445514026524;0.0008492995166429083;0.13394493513750433;0.13721454545454545;0.14048415577158657;0.0009064262188770825;0.13016420042102195;0.1334509090909091;0.13673761776079624;0.0009111663541887644
3;4;0.14803810071707735;0.15116727272727273;0.15429644473746812;0.0008674928442188778;0.14639146065563666;0.14959636363636364;0.15280126661709062;0.0008884875593728741;0.13988885370810558;0.1430218181818182;0.1461547826555308;0.0008685442197752387
4;5;-0.09190122750879763;-0.08919636363636363;-0.08649149976392963;0.000749862917819003;-0.0928143874155616;-0.0899090909090909;-0.0870037944026202;0.0008054283757766575;-0.09174218263732983;-0.08874545454545454;-0.08574872645357925;0.0008307757346996049
5;6;-0.003698670140726869;-0.0002654545454545454;0.0031677610498177786;0.0009517821173957908;-0.002778450124552984;0.0005272727272727268;0.0038329955790984377;0.0009164376102004625;-0.0024419001675585815;0.0007527272727272724;0.003947354713013126;0.0008856388959647565
6;7;0.04456509008185871;0.048149090909090905;0.0517330917363231;0.000993583945263639;0.04341297789491653;0.046985454545454546;0.05055793119599256;0.0009903891254246697;0.044187171469068885;0.047858181818181814;0.05152919216729474;0.001017705386131865
7;8;0.05834479399171161;0.062065454545454535;0.06578611509919746;0.0010314697931667596;0.05863793256644081;0.06254545454545456;0.0664529765244683;0.0010832729374984959;0.057076141494120596;0.060792727272727276;0.06450931305133396;0.0010303401530380055
8;9;0.043619026659608755;0.04734181818181817;0.05106460970402759;0.0010320605564389327;0.0424848134459708;0.0463490909090909;0.050213368372211006;0.0010712843641739163;0.0398690240170368;0.04358909090909092;0.04730915780114504;0.0010313052137619686
9;10;-0.14382736421776043;-0.14074545454545453;-0.13766354487314864;0.000854390419747938;-0.1426589152547955;-0.13953818181818184;-0.1364174483815682;0.0008651534387232045;-0.14069763936003943;-0.13722545454545454;-0.13375326973086965;0.0009625854605128517
10;11;-0.05464998970781416;-0.051265454545454545;-0.04788091938309493;0.0009382865578459608;-0.05356877892879347;-0.050196363636363636;-0.0468239483439338;0.0009349265954013619;-0.05319663478428055;-0.049581818181818185;-0.04596700157935582;0.0010021269286516173
11;12;-0.006762921862594558;-0.0032872727272727272;0.0001883764080491037;0.0009635458658339997;-0.007619200289228066;-0.003978181818181817;-0.0003371633471355678;0.0010093908097766004;-0.007053811721757479;-0.0035345454545454543;-1.5279187333429138e-05;0.0009756377385967667
12;13;0.005603327279221127;0.009723636363636363;0.0138439454480516;0.001142263395893371;0.008015833339435665;0.012087272727272726;0.01615871211510979;0.0011287153672319271;0.007585536781228814;0.011752727272727274;0.015919917764225733;0.0011552602158313935
13;14;-0.00899843736706638;-0.004814545454545455;-0.0006306535420245295;0.0011598903106865403;-0.009293392641770506;-0.005101818181818184;-0.0009102437218658612;0.0011620201248675425;-0.008176253702918326;-0.004083636363636365;8.98097564559601e-06;0.00113458647986933
14;15;-0.05397520417964564;-0.050429090909090916;-0.046882977638536195;0.0009830804688821667;-0.054302594240446665;-0.05054909090909091;-0.04679558757773516;0.0010405747175590825;-0.05083712029512124;-0.047014545454545455;-0.04319197061396967;0.0010597232462409667
15;16;-0.15754429303984208;-0.1544;-0.15125570696015794;0.0008716848109669431;-0.15511749745440956;-0.15159999999999998;-0.1480825025455904;0.0009751473748699122;-0.14833384619907966;-0.14500363636363636;-0.14167342652819306;0.0009232260778831475
16;17;-0.06937729662594626;-0.06567999999999999;-0.061982703374053726;0.001024992667553206;-0.06832771912370501;-0.06445454545454546;-0.06058137178538591;0.001073750638017212;-0.06547798393706046;-0.06167636363636363;-0.057874743335666806;0.001053914069455648
17;18;-0.021176690193481843;-0.01760363636363636;-0.014030582533790878;0.0009905491354584514;-0.020994357574333766;-0.017341818181818184;-0.013689278789302603;0.0010125847271773983;-0.021441516273651352;-0.017858181818181818;-0.014274847362712282;0.0009933992086196268
18;19;-0.009155644512502208;-0.005309090909090909;-0.0014625373056796104;0.001066370821096313;-0.009378217735607618;-0.005483636363636363;-0.0015890549916651093;0.0010796854440744727;-0.01072736787079543;-0.00670909090909091;-0.002690813947386391;0.001113977275461633
19;20;-0.0227740671268606;-0.018709090909090908;-0.014644114691321215;0.001126923598110209;-0.02368868039665224;-0.01976363636363636;-0.015838592330620484;0.0010881305344645105;-0.02348387886447281;-0.01971636363636364;-0.01594884840825447;0.001044459202057831
20;21;-0.06853961133802658;-0.0651709090909091;-0.061802206843791625;0.0009338972367632819;-0.06880451005717915;-0.06516363636363637;-0.061522762670093586;0.0010093506734568803;-0.0685315967465935;-0.06486545454545455;-0.061199312344315596;0.0010163558011559472
21;22;-0.15829814352743962;-0.15519272727272726;-0.1520873110180149;0.0008609070931564933;-0.15715732629646048;-0.15406545454545456;-0.15097358279444864;0.0008571521829100942;-0.1494312317516198;-0.1460581818181818;-0.14268513188474383;0.0009351025354044771
22;23;-0.049991759074044684;-0.046170909090909096;-0.04235005910777351;0.0010592450681536658;-0.05187023726712458;-0.04805818181818182;-0.04424612636923906;0.0010568069805523255;-0.048340279082839256;-0.04429818181818181;-0.04025608455352437;0.0011205809208641427
23;24;-0.0011165939325710208;0.00228;0.005676593932571021;0.0009416295817623168;-0.003395003616332964;0.00035636363636363627;0.004107730889060236;0.0010399825376004646;-0.0040773257632364885;-0.00017090909090909076;0.003735507581418307;0.0010829665159793357
24;25;0.010636109071616955;0.013992727272727273;0.01734934547383759;0.000930547205698749;0.009867037588129422;0.013305454545454544;0.016743871502779666;0.0009532240785108375;0.0097457285729479;0.013236363636363636;0.016726998699779373;0.0009677003787029265
25;26;-0.004516514422976993;-0.00096;0.0025965144229769927;0.0009859639553982656;-0.004835202593963363;-0.0012254545454545456;0.0023842935030542714;0.001000721785607095;-0.005436874459145062;-0.0018836363636363636;0.0016696017318723348;0.0009850556669996724
26;27;-0.04937023851451262;-0.04621454545454545;-0.04305885239457829;0.0008748452111783287;-0.04865507469001785;-0.04547272727272727;-0.04229037985543669;0.000882234534670287;-0.04913821174982362;-0.045927272727272726;-0.04271633370472183;0.0008901609167570648
27;28;-0.13902488682406286;-0.13652363636363635;-0.13402238590320983;0.0006934156604205627;-0.1381645491293224;-0.13552;-0.1328754508706776;0.0007331420063830957;-0.13508675216337301;-0.13228727272727275;-0.1294877932911725;0.0007760929633916932
28;29;0.048091839326216176;0.051189090909090906;0.054286342491965636;0.0008586436207837817;0.043933238473740525;0.04687636363636364;0.049819488798986754;0.0008159155233069674;0.04152663201353624;0.04452;0.04751336798646375;0.0008298442207429339
29;30;0.06108036771251413;0.06455999999999999;0.06803963228748586;0.0009646501055461269;0.05872202675414244;0.06244727272727272;0.066172518700403;0.0010327409979753515;0.057472984194290554;0.061040000000000004;0.06460701580570945;0.0009888752285226346
30;31;0.04519197269999606;0.04891636363636363;0.05264075457273121;0.001032503958186304;0.04474194950769798;0.048392727272727275;0.05204350503775657;0.0010120963554184957;0.04266027818819141;0.04632727272727273;0.04999426726635405;0.0010165920927575121
31;32;-0.000593209395179354;0.0028327272727272724;0.006258663940633898;0.0009497641978366365;0.0002992037880372041;0.0036581818181818182;0.007017159848326432;0.0009312014154367125;0.0006609952420755785;0.003916363636363636;0.007171732030651694;0.0009024779648226714
32;33;-0.0916185451119772;-0.08887272727272727;-0.08612690943347734;0.0007612164877216625;-0.09319793864167825;-0.09032363636363636;-0.08744933408559447;0.0007968359202368291;-0.09326621485420829;-0.09029090909090909;-0.08731560332760989;0.0008248368739767971
33;34;0.14727067548674821;0.15024;0.1532093245132518;0.0008231787063852741;0.1471332375487994;0.15017818181818182;0.15322312608756425;0.0008441425898378794;0.1396288555301775;0.14318545454545456;0.1467420535607316;0.0009859874067185289
34;35;0.13249749300692307;0.13562545454545452;0.13875341608398598;0.000867157268065457;0.1319620039584943;0.13537454545454544;0.13878708695059658;0.0009460506865007776;0.12863866223127324;0.13197454545454546;0.13531042867781767;0.0009247988975709156
35;36;0.08731937503705246;0.09020727272727272;0.09309517041749298;0.0008006049437166851;0.08709354096810286;0.09007636363636363;0.09305918630462441;0.000826920767493545;0.08799248686703678;0.09085090909090908;0.09370933131478137;0.0007924335309424565
36;37;-0.0032012328750120134;-0.0011127272727272728;0.0009757783295574675;0.0005789913942697993;-0.0026403291721292283;-0.0005781818181818181;0.0014839655357655923;0.0005716841603611876;-0.002900082633945237;-0.0008836363636363635;0.0011328099066725103;0.0005590145586581468
37;38;-0.0014400557037612472;0.0005298701298701298;0.002499795963501507;0.0005461178096791266;-0.0007814852847117936;0.0012303696303696302;0.0032422245454510543;0.0005577417082708551;-0.0009764557169942654;0.0010577422577422576;0.0030919402324787806;0.0005639358210603095
38;39;0.08899827433748894;0.0925034965034965;0.09600871866950406;0.0009717443261353646;0.09035308282293288;0.09406913086913087;0.09778517891532885;0.0010301910787732717;0.09240228642471014;0.09614145854145854;0.09988063065820695;0.0010366017093382705
