;Classifier;Exp. Group;Ratio Men;Probability Men;Probability Women;Difference Probabilities;Informativeness Difference;Possible Accuracy;Mean Accuracy;SD Accuracy;Diff Acc;Possible Accuracy Men;Mean Accuracy Men;SD Accuracy Men;Diff Acc Men;Possible Accuracy Women;Mean Accuracy Women;SD Accuracy Women;Diff Acc Women;Expected Bias;Mean Bias;SD Bias;Lower Bound Bias;Upper Bound Bias;Significance Bias;Diff Bias
0;SVM;1;0.50;0.05;0.05;0.00;0.00;0.9293290909090909;0.9541890909090909;0.003304888068686663;-0.024859999999999993;0.92894;0.9538036363636365;0.0046382414400540336;-0.024863636363636532;0.9297181818181818;0.9545745454545456;0.004974698027716333;-0.024856363636363787;-0.000778181818181789;-0.000770909090909091;0.006988037468431938;-0.028450788753475283;0.026908970571657104;No;7.272727272698018e-06
1;SVM;2;0.50;0.05;0.20;0.15;0.15;0.8890627272727273;0.9081781818181818;0.0064311596573892495;-0.01911545454545449;0.9289527272727273;0.9543090909090909;0.004704656946713123;-0.02535636363636362;0.8491727272727273;0.8620472727272727;0.012406207015522737;-0.01287454545454536;0.07977999999999996;0.09226181818181818;0.013662220933698841;0.03814524638658498;0.14637838997705138;Yes;0.012481818181818219
2;SVM;3;0.50;0.05;0.35;0.30;0.30;0.8712445454545454;0.8833018181818182;0.0077478357259835725;-0.01205727272727275;0.9288945454545454;0.9539818181818183;0.005103628871066653;-0.025087272727272847;0.8135945454545455;0.8126218181818182;0.01467804688780048;0.0009727272727272362;0.11529999999999996;0.14136000000000004;0.0155842337777897;0.0796302629241463;0.2030897370758538;Yes;0.026060000000000083
3;SVM;4;0.50;0.05;0.50;0.45;0.45;0.8656436363636364;0.8772054545454546;0.008741353639695307;-0.011561818181818229;0.9289672727272728;0.9540509090909092;0.0048222644208635;-0.02508363636363642;0.80232;0.8003600000000001;0.01790547534579391;0.0019599999999999618;0.12664727272727272;0.1536909090909091;0.019546751883376002;0.07626548852468328;0.2311163296571349;Yes;0.02704363636363638
4;SVM;5;0.50;0.20;0.05;-0.15;-0.15;0.8893854545454546;0.9091945454545455;0.0071512648882259425;-0.019809090909090887;0.8490709090909091;0.8631672727272727;0.01277624524096813;-0.014096363636363574;0.9297;0.9552218181818183;0.005333835048433232;-0.025521818181818312;-0.08062909090909087;-0.09205454545454544;0.01337169097594683;-0.1450203171424131;-0.03908877376667781;Yes;-0.011425454545454572
5;SVM;6;0.50;0.20;0.20;0.00;0.00;0.8490954545454545;0.8633799999999999;0.009851870089596962;-0.014284545454545383;0.8490145454545455;0.8640618181818182;0.012556749009451938;-0.015047272727272687;0.8491763636363636;0.8626981818181819;0.012320839793916476;-0.013521818181818301;-0.00016181818181815188;0.0013636363636363637;0.015189229762508518;-0.05880147492728052;0.061528747654553254;No;0.0015254545454545156
6;SVM;7;0.50;0.20;0.35;0.15;0.15;0.8313118181818182;0.8386836363636363;0.010291290526722823;-0.0073718181818180906;0.8490363636363636;0.8645236363636364;0.012817991164749113;-0.015487272727272794;0.8135872727272727;0.8128436363636363;0.015203330615306309;0.0007436363636363907;0.035449090909090875;0.05168;0.019163550708940522;-0.024227546278509933;0.12758754627850993;No;0.016230909090909122
7;SVM;8;0.50;0.20;0.50;0.30;0.30;0.8256663636363636;0.8325945454545455;0.010592861434151763;-0.006928181818181889;0.849;0.8646872727272726;0.012964868524730742;-0.01568727272727266;0.8023327272727273;0.8005018181818181;0.01721425565573745;0.0018309090909092163;0.04666727272727267;0.06418545454545456;0.02190894734661453;-0.022596711238191264;0.15096762032910038;No;0.01751818181818189
8;SVM;9;0.50;0.20;0.65;0.45;0.15;0.8319563636363636;0.8405454545454545;0.009092558221011512;-0.00858909090909088;0.8490654545454546;0.864789090909091;0.013401841386235396;-0.015723636363636384;0.8148472727272728;0.8163018181818182;0.014331611167464937;-0.0014545454545454861;0.034218181818181814;0.048487272727272726;0.020959732879607524;-0.034535018794191075;0.13150956424873653;No;0.014269090909090912
9;SVM;10;0.50;0.35;0.05;-0.30;-0.30;0.8728518181818182;0.8867636363636364;0.008602036519924475;-0.013911818181818192;0.8160454545454545;0.8183636363636364;0.016051787360389348;-0.002318181818181886;0.9296581818181818;0.9551636363636362;0.005415903305146537;-0.025505454545454387;-0.11361272727272731;-0.1368;0.016673441246103024;-0.20284412888996153;-0.07075587111003848;Yes;-0.023187272727272695
10;SVM;11;0.50;0.35;0.20;-0.15;-0.15;0.8326190909090909;0.8407563636363635;0.00952910914928585;-0.008137272727272604;0.8160927272727273;0.8185054545454545;0.016072212023789313;-0.002412727272727233;0.8491454545454545;0.8630072727272727;0.012684627107713193;-0.013861818181818197;-0.033052727272727234;-0.044501818181818184;0.021799445948985238;-0.1308502448043685;0.041846608440732125;No;-0.01144909090909095
11;SVM;12;0.50;0.35;0.35;0.00;0.00;0.8147736363636363;0.8157690909090909;0.01156148326759638;-0.0009954545454545771;0.81606;0.8186909090909091;0.015510349946284268;-0.002630909090909128;0.8134872727272727;0.8128472727272726;0.015496704562371484;0.0006400000000000849;0.002572727272727282;0.0058436363636363625;0.020658316342616303;-0.0759847328999812;0.08767200562725391;No;0.0032709090909090804
12;SVM;13;0.50;0.35;0.50;0.15;0.15;0.8092263636363637;0.8101254545454545;0.01160729181942772;-0.0008990909090907939;0.8161018181818182;0.8193818181818181;0.015831410189896564;-0.0032799999999999496;0.8023509090909091;0.800869090909091;0.01782022011855317;0.0014818181818181397;0.013750909090909036;0.018512727272727274;0.02444321365580804;-0.07830776283133935;0.1153332173767939;No;0.0047618181818182385
