;Classifier;Exp. Group;Ratio Men;Prob Men;Prob Women;Prob Diff;Informativeness Diff;Lower Bound Bias;Mean Bias;Upper Bound Bias;Width_Confidence_Intervall;SD Bias;Significant_Bias
0;SVM;1;0.50;0.05;0.05;0.00;0.00;-0.0019299677235249944;-0.000770909090909091;0.0003881495417068124;0.0023181172652318068;0.0002979709188379071;No
1;SVM;2;0.50;0.05;0.20;0.15;0.15;0.08999575776278859;0.09226181818181818;0.09452787860084777;0.004532120838059178;0.0005825590580146419;Yes
2;SVM;3;0.50;0.05;0.35;0.30;0.30;0.13877514827668713;0.14136000000000004;0.14394485172331295;0.005169703446625826;0.000664513961055613;Yes
3;SVM;4;0.50;0.05;0.50;0.45;0.45;0.15044882122112097;0.1536909090909091;0.15693299696069724;0.006484175739576254;0.0008334763007922281;Yes
4;SVM;5;0.50;0.20;0.05;-0.15;-0.15;-0.09427241762943822;-0.09205454545454544;-0.08983667327965267;0.0044357443497855505;0.0005701708189915431;Yes
5;SVM;6;0.50;0.20;0.20;0.00;0.00;-0.001155698708413898;0.0013636363636363637;0.0038829714356866255;0.0050386701441005235;0.0006476709332513549;No
6;SVM;7;0.50;0.20;0.35;0.15;0.15;0.04850147112388705;0.05168;0.05485852887611294;0.006357057752225892;0.000817136547812637;Yes
7;SVM;8;0.50;0.20;0.50;0.30;0.30;0.06055156524987827;0.06418545454545456;0.06781934384103085;0.007267778591152581;0.0009342006537791136;Yes
8;SVM;9;0.50;0.20;0.65;0.45;0.15;0.045010823231806045;0.048487272727272726;0.05196372222273941;0.006952898990933366;0.0008937260129109131;Yes
9;SVM;10;0.50;0.35;0.05;-0.30;-0.30;-0.13956551121813696;-0.1368;-0.13403448878186305;0.0055310224362738756;0.0007109579235564693;Yes
10;SVM;11;0.50;0.35;0.20;-0.15;-0.15;-0.04811754521928137;-0.044501818181818184;-0.040886091144355;0.007231454074926363;0.0009295314984958125;Yes
11;SVM;12;0.50;0.35;0.35;0.00;0.00;0.0024171807957625237;0.0058436363636363625;0.009270091931510202;0.006852911135747678;0.0008808735685893219;Yes
12;SVM;13;0.50;0.35;0.50;0.15;0.15;0.014458496320958133;0.018512727272727274;0.022566958224496416;0.008108461903538283;0.0010422621322903026;Yes
